Epoch,TrainLoss,TrainAcc,ValAcc,TestAcc
1,293.8838184475899,0.6906802721088435,0.714920634920635,0.7161904761904762
2,236.57249549031258,0.7415646258503401,0.7104761904761905,0.7057142857142857
3,205.7798062413931,0.7842857142857143,0.686031746031746,0.679047619047619
4,158.56823562085629,0.8487755102040816,0.7085714285714285,0.693015873015873
5,124.11953058093786,0.8887074829931972,0.7069841269841269,0.6996825396825397
6,84.59415254741907,0.9280952380952381,0.6987301587301588,0.6980952380952381
7,65.8403231780976,0.9471428571428572,0.6444444444444445,0.6482539682539683
8,49.17561329063028,0.9612925170068027,0.6911111111111111,0.6863492063492064
9,42.30841125268489,0.9680272108843537,0.6377777777777778,0.6425396825396825
10,40.96152553288266,0.967687074829932,0.6768253968253968,0.6780952380952381
