Epoch,TrainLoss,TrainAcc,ValAcc,TestAcc
1,6.240980044996832,0.9951415774690655,0.9996456413890857,1.0
2,1.273048354731145,0.9987094815152205,0.9992912827781715,0.9989376770538244
3,0.6706840868146173,0.999468610035679,0.9996456413890857,0.9992917847025495
4,0.16477155006350586,0.9999240871479541,0.9996456413890857,1.0
5,0.34573553970335524,0.9996204357397708,1.0,1.0
6,0.08588016145904476,1.0,1.0,0.9996458923512748
7,0.01419901440783633,1.0,1.0,1.0
8,0.014012867327323875,1.0,1.0,1.0
9,0.009849217239661812,1.0,1.0,1.0
10,0.017607281154312204,1.0,0.9996456413890857,0.9989376770538244
