Epoch,TrainLoss,TrainAcc,ValAcc,TestAcc
1,0.3563324986111133,0.8392805893045059,0.8557786827692739,0.8652332771219786
2,0.18563860293124612,0.9249019420262126,0.8025558208116838,0.8011523327712198
3,0.13071705673220324,0.9483401894193054,0.8487571970228901,0.8594716132658797
4,0.0937872246101453,0.9651774610159762,0.83302906895099,0.8243395165823496
5,0.069731567231568,0.9740744283937626,0.9264148293778963,0.9269252388982574
6,0.059448498389142526,0.9783794126088204,0.8606937227917427,0.8538504777965149
7,0.059756964808244495,0.9795274083995026,0.8356972335346159,0.8478077571669477
8,0.05657783216926403,0.9803884052425141,0.9224827973599213,0.9211635750421585
9,0.04158837869670812,0.985841385248254,0.9082993961522258,0.907672849915683
10,0.05024654806672741,0.9845020568257916,0.9077376772925151,0.9215851602023609
